n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,344.79841124266386,0.3582085529342294,358.1239216829762,0.5663416606765187
1,10000000,Float32,cuBLAS,85.5744001455605,1.3782244082540274,97.57190174085088,0.5544851249026972
10,1000000,Float32,KernelForge,346.2720080278814,1.881121324840933,359.6265211773813,0.4351310574875785
10,1000000,Float32,cuBLAS,44.3600001744926,0.19214832165744156,56.706500674080104,0.43217576709710404
100,100000,Float32,KernelForge,151.23600605875254,0.48510212916880846,163.91450637151303,0.5092743538411083
100,100000,Float32,cuBLAS,48.22400078410283,0.8682100081932731,60.254997645711526,0.43588565420562053
1000,10000,Float32,KernelForge,124.85120678320527,0.03320773132145405,137.14370591856914,0.3676832945644239
1000,10000,Float32,cuBLAS,39.06960046151653,0.12453546485630795,50.736098889001646,0.3054159761158745
10000,1000,Float32,KernelForge,281.4896055497229,1.8336915713734925,294.07059535775335,0.49593371275321224
10000,1000,Float32,cuBLAS,34.19440035941079,0.5278070300118998,46.10639997191448,0.2898471704372914
100000,100,Float32,KernelForge,234.89919258281589,2.156276030000299,247.59869424201548,0.6768284750340617
100000,100,Float32,cuBLAS,57.576000108383596,1.1006835446460173,70.36399959461764,0.5856259828078311
1000000,10,Float32,KernelForge,234.44078397005796,5.658759658690542,247.2917818988487,0.3654568868822773
1000000,10,Float32,cuBLAS,177.1479961462319,1.1113543761894107,190.44699713573604,0.6693798512932148
10000000,1,Float32,KernelForge,277.5224158540368,0.3688750695437193,290.2354191978425,0.3988068563642339
10000000,1,Float32,cuBLAS,1057.878416031599,0.4328741692006588,1079.2714068189712,0.5567243284222997
1,100000000,Float32,KernelForge,643.6791969463229,1.0117311822250485,665.6726805759669,0.5544231618719707
1,100000000,Float32,cuBLAS,686.4655995741487,0.3748469380661845,707.7825883218646,0.592288665383027
10,10000000,Float32,KernelForge,673.4944181516767,1.5940746618434787,695.8043980549276,0.6901452795321263
10,10000000,Float32,cuBLAS,566.7527904734015,1.8965342687442899,587.7812995412946,0.931798044612797
100,1000000,Float32,KernelForge,324.9368048273027,0.0699882279150188,337.54080544954536,0.6019260666278545
100,1000000,Float32,cuBLAS,278.9239981211722,0.7270663627423346,291.27200079323353,0.5945070456146435
1000,100000,Float32,KernelForge,308.31999611109495,0.6570781348273158,321.1829984272048,0.41289707649718926
1000,100000,Float32,cuBLAS,254.31918911635876,0.5776143120601773,266.5716884074062,0.5767324043122581
10000,10000,Float32,KernelForge,267.7288022823632,1.0378106427378953,280.5762964812368,0.517446466258315
10000,10000,Float32,cuBLAS,248.61600250005722,0.1328309252858162,260.7214919777066,0.7390655637736729
100000,1000,Float32,KernelForge,415.3464222326875,0.39493727032095194,436.4589035376161,0.2698372143328775
100000,1000,Float32,cuBLAS,254.09921072423458,0.5052615003660321,266.49069951628894,0.5240669887396462
1000000,100,Float32,KernelForge,310.2287999354303,1.9594114855863154,322.8012900531888,0.5345028888808474
1000000,100,Float32,cuBLAS,314.5871916785836,0.351063022390008,327.68267767982184,0.5484851470864369
10000000,10,Float32,KernelForge,299.43519039079547,0.46968918526545167,312.3016960778385,0.40399696104105914
10000000,10,Float32,cuBLAS,332.0448100566864,0.5503439297899604,345.09780694647134,0.6819980074094484
100000000,1,Float32,KernelForge,544.4279871881008,0.7318127900362015,566.9234728795291,0.5426205631365529
100000000,1,Float32,cuBLAS,4126.148857176304,37.65798155218363,4150.760275334358,0.45003423387870894
10,100000000,Float32,KernelForge,12228.089570999146,4.986268579959869,12252.378838356257,0.5175656192760949
10,100000000,Float32,cuBLAS,6904.947385191917,6.701195910573006,6928.934509919167,1.1046729601900278
100,10000000,Float32,KernelForge,2794.496715068817,2.9355358332395554,2818.5026558369996,1.5996897791755305
100,10000000,Float32,cuBLAS,2462.81111612916,0.07111011072993279,2486.727586729467,2.501934666345293
1000,1000000,Float32,KernelForge,2670.464012771845,1.0580908320844173,2695.0769386639595,1.2469704562198156
1000,1000000,Float32,cuBLAS,2384.3176662921906,0.5420937761664391,2407.0081849574444,2.373617012333909
10000,100000,Float32,KernelForge,2537.2767820954323,1.8739930540323257,2561.7607936254144,1.5225950781114754
10000,100000,Float32,cuBLAS,2342.300768941641,1.1124935187399387,2366.0011772884127,1.0623877628411211
100000,10000,Float32,KernelForge,2465.2600288391113,1.6191012784838676,2488.6366635470986,1.9814346913258836
100000,10000,Float32,cuBLAS,3469.5178270339966,27.74592250585556,3493.5038611310124,1.8281351102783565
1000000,1000,Float32,KernelForge,2477.0799092948437,1.667566616088152,2500.056018280506,1.1801897423563967
1000000,1000,Float32,cuBLAS,2428.2967671751976,34.682126976549625,2451.9707898814086,2.114246301173142
10000000,100,Float32,KernelForge,2470.983937382698,0.07594283670186996,2494.758430967212,2.756180999935571
10000000,100,Float32,cuBLAS,2573.3848102390766,1.562075112015009,2596.333395827949,0.7340677183680129
100000000,10,Float32,KernelForge,2913.7679375708103,0.6499326042830944,2937.0418864340186,2.087469186217927
100000000,10,Float32,cuBLAS,3200.1150771975517,21.247148774564266,3224.2384104740618,0.9105076553238858
