n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,68.25599994044751,0.26568342524114996,79.14549824002384,0.08079781152515804
1000000,Float32,AK,44.13199931150302,0.8883736943244003,57.04850108091719,1.7057300459158917
1000000,Float32,AK-DL,NaN,NaN,NaN,NaN
1000000,Float32,KernelForge,17.827199917519465,0.22535497424541973,30.411201140557413,0.6278835460897686
1000000,Float32,CUB,15.325999999999999,2.091,NaN,NaN
1000000,Float64,CUDA,79.73120082169771,0.42461538570933044,90.72920115052165,0.25501171582067195
1000000,Float64,AK,48.60400076722726,0.06048890092642978,60.58350076017901,0.5745080644168191
1000000,Float64,AK-DL,NaN,NaN,NaN,NaN
1000000,Float64,KernelForge,19.335199613124132,0.02965222578495741,31.108198128613644,0.2772438796467075
1000000,Float64,CUB,19.834999999999997,0.35,NaN,NaN
1000000,UInt8,CUDA,63.347205286845565,0.8919399871956557,74.30270570211671,0.13788104667467818
1000000,UInt8,AK,34.47439958108589,0.5017124672303908,46.49739932149835,0.3469248875195348
1000000,UInt8,AK-DL,NaN,NaN,NaN,NaN
1000000,UInt8,KernelForge,21.737600036431104,0.30126437020953745,34.2360992286643,0.5893344407757172
1000000,UInt8,CUB,14.196,0.22,NaN,NaN
10000000,Float32,CUDA,406.04397654533386,0.5823434796184301,417.1209771737233,0.2097979346169682
10000000,Float32,AK,292.44000324979424,0.13995919609442353,305.1680045679584,0.8754813208916792
10000000,Float32,AK-DL,NaN,NaN,NaN,NaN
10000000,Float32,KernelForge,72.41280109155923,2.8560763254063204,84.63229964318313,0.7012741900841645
10000000,Float32,CUB,64.467,1.8010000000000002,NaN,NaN
10000000,Float64,CUDA,508.8784033432603,0.4340823506936431,519.9889151259958,0.15567851770270968
10000000,Float64,AK,445.7016009837389,0.01781204715371132,469.00407825582477,0.49219058749483896
10000000,Float64,AK-DL,NaN,NaN,NaN,NaN
10000000,Float64,KernelForge,122.01200006529689,0.28585574124008417,134.19400072605907,0.4989014218934856
10000000,Float64,CUB,115.011,1.858,NaN,NaN
10000000,UInt8,CUDA,336.692004930228,0.23602688452228904,347.75500285942854,0.13194838973642015
10000000,UInt8,AK,223.20079151540995,0.3664932260289788,235.2097862423919,0.5277907988184419
10000000,UInt8,AK-DL,NaN,NaN,NaN,NaN
10000000,UInt8,KernelForge,29.68399930978194,0.024907955958042294,41.37500074266829,0.2164614820374794
10000000,UInt8,CUB,41.884,1.0939999999999999,NaN,NaN
100000000,Float32,CUDA,3801.0038435459137,216.6350882872939,3813.290851568997,0.32765409814757246
100000000,Float32,AK,4285.29679775238,0.31923606991767883,4316.470386582613,2.2297897587073914
100000000,Float32,AK-DL,NaN,NaN,NaN,NaN
100000000,Float32,KernelForge,599.5512008666992,0.8907404355704784,624.71969097659,0.8828471580703822
100000000,Float32,CUB,545.08,4.198,NaN,NaN
100000000,Float64,CUDA,4806.402325630188,162.8070817887783,4818.525896329404,0.22607832249906085
100000000,Float64,AK,7349.575310945511,0.09610220789909363,7377.508965740442,1.865384246350406
100000000,Float64,AK-DL,NaN,NaN,NaN,NaN
100000000,Float64,KernelForge,1083.7840382009745,0.0024163629859685898,1108.127002198249,0.6471353321322816
100000000,Float64,CUB,1026.743,4.865,NaN,NaN
100000000,UInt8,CUDA,3029.515128582716,0.685556698590517,3040.5685625685455,0.12897415845956828
100000000,UInt8,AK,3865.0495931506157,0.28913509100675583,3891.66903346622,0.6330957886379922
100000000,UInt8,AK-DL,NaN,NaN,NaN,NaN
100000000,UInt8,KernelForge,248.4648022800684,1.5762971341609955,260.34281104782224,0.9251343731569667
100000000,UInt8,CUB,354.159,1.61,NaN,NaN
1000000000,Float32,CUDA,35125.79649686813,104.84419494867325,35137.976243380544,0.18730193667593412
1000000000,Float32,AK,252978.1699180603,16.87864065170288,253020.77890268707,3.9351135899348475
1000000000,Float32,AK-DL,NaN,NaN,NaN,NaN
1000000000,Float32,KernelForge,5895.489640533924,3.7764301523566246,5923.1419594507215,1.939187112490705
1000000000,Float32,CUB,5414.771,11.945,NaN,NaN
1000000000,Float64,CUDA,47134.02986526489,2315.038120150566,47146.66913108349,0.557709567172981
1000000000,Float64,AK,444944.52476501465,151.0063934326172,444989.49073238374,5.328171866139461
1000000000,Float64,AK-DL,NaN,NaN,NaN,NaN
1000000000,Float64,KernelForge,10737.832263112068,5.776626393198967,10769.766411411523,2.8002950063925125
1000000000,Float64,CUB,10188.721,12.56,NaN,NaN
1000000000,UInt8,CUDA,31297.39761352539,1262.9244035482407,31309.799607437133,0.21584102592261079
1000000000,UInt8,AK,314624.1784095764,6.8398261070251465,314668.7670736389,8.388492376953765
1000000000,UInt8,AK-DL,NaN,NaN,NaN,NaN
1000000000,UInt8,KernelForge,2435.065619647503,5.3919414058327675,2461.1806383062003,0.7908893303820987
1000000000,UInt8,CUB,3436.592,4.401999999999999,NaN,NaN
