K,M,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
64,65536,Float32,Forge,52.05840279813856,0.80297899490688,64.08240236844308,0.6523436238841266
64,65536,Float32,CUB,170.005,0.78,179.312,0.8450000000000001
64,65536,Float32,Thrust,NaN,NaN,NaN,NaN
256,16384,Float32,Forge,134.39759495668113,0.12690220610238612,146.60110086251422,0.6308575891871067
256,16384,Float32,CUB,2390.859,1.163,2400.654,1.3470000000000002
256,16384,Float32,Thrust,NaN,NaN,NaN,NaN
1024,4096,Float32,Forge,128.44399316236377,0.25737717747688293,140.76198993137854,0.5500476105066016
1024,4096,Float32,CUB,635.582,0.8400000000000001,645.2139999999999,1.024
1024,4096,Float32,Thrust,NaN,NaN,NaN,NaN
4096,1024,Float32,Forge,105.48879508860409,0.1696027920115739,118.3592960904017,1.2505717195718533
4096,1024,Float32,CUB,201.085,1.2049999999999998,210.195,1.253
4096,1024,Float32,Thrust,NaN,NaN,NaN,NaN
16384,256,Float32,Forge,216.8895909562707,0.38903444074094296,229.81109262186288,0.7694611208334263
16384,256,Float32,CUB,308.147,0.5910000000000001,317.583,0.65
16384,256,Float32,Thrust,NaN,NaN,NaN,NaN
65536,64,Float32,Forge,240.89999496936798,0.7579095102846622,253.571490202412,0.4173534053140692
65536,64,Float32,CUB,412.54600000000005,1.141,422.213,1.497
65536,64,Float32,Thrust,NaN,NaN,NaN,NaN
262144,16,Float32,Forge,277.1456027403474,2.559549752622843,290.08111049015815,0.5263335363478062
262144,16,Float32,CUB,1479.8100000000002,1.471,1489.423,1.4929999999999999
262144,16,Float32,Thrust,NaN,NaN,NaN,NaN
1048576,4,Float32,Forge,321.0816066712141,3.1715799774974585,333.6491008800045,0.4321753914672646
1048576,4,Float32,CUB,5691.6050000000005,2.078,5701.26,2.085
1048576,4,Float32,Thrust,NaN,NaN,NaN,NaN
64,65536,UInt8,Forge,43.759999971371144,0.1565609042881988,56.068502122708594,0.7968988171346085
64,65536,UInt8,CUB,200.742,2.012,209.82799999999997,2.062
64,65536,UInt8,Thrust,NaN,NaN,NaN,NaN
256,16384,UInt8,Forge,76.05200225953013,0.2905892237322405,88.1305006419476,0.46553953587856206
256,16384,UInt8,CUB,609.6859999999999,1.5579999999999998,618.863,1.702
256,16384,UInt8,Thrust,NaN,NaN,NaN,NaN
1024,4096,UInt8,Forge,36.17280017351732,0.2063768162042834,48.45730181739945,0.35730465673465733
1024,4096,UInt8,CUB,178.018,0.653,187.145,0.771
1024,4096,UInt8,Thrust,NaN,NaN,NaN,NaN
4096,1024,UInt8,Forge,29.13919888669625,0.17316908488282934,41.36019888235256,0.9829634237626201
4096,1024,UInt8,CUB,73.41499999999999,0.823,82.523,0.983
4096,1024,UInt8,Thrust,NaN,NaN,NaN,NaN
16384,256,UInt8,Forge,62.9943999228999,0.14113717305008322,75.35789965929649,0.4447823827962618
16384,256,UInt8,CUB,72.437,0.178,81.56700000000001,0.499
16384,256,UInt8,Thrust,NaN,NaN,NaN,NaN
65536,64,UInt8,Forge,70.58960036374629,0.30719740432687104,82.8156004366707,0.5863688014878312
65536,64,UInt8,CUB,103.12599999999999,0.136,112.151,0.506
65536,64,UInt8,Thrust,NaN,NaN,NaN,NaN
262144,16,UInt8,Forge,80.04480041563511,0.2917758305557072,92.46630125019327,0.5129802273458227
262144,16,UInt8,CUB,385.08799999999997,0.219,394.172,0.28800000000000003
262144,16,UInt8,Thrust,NaN,NaN,NaN,NaN
1048576,4,UInt8,Forge,93.61280244775116,0.3439606411848217,105.90130048905127,0.4959300763588882
1048576,4,UInt8,CUB,1493.227,0.307,1502.47,0.514
1048576,4,UInt8,Thrust,NaN,NaN,NaN,NaN
