n,type,method,kernel,calls_per_sort,per_sort_us,min_dispatch_us,pct
100000000,Float32,CUB,onesweep,4.000,3594.906,759.261,92.37
100000000,Float32,CUB,hist,1.000,294.184,261.503,7.56
100000000,Float32,CUB,scan_hist,1.000,2.945,2.560,0.08
10000000,Float32,CUB,onesweep,4.000,453.415,106.272,89.82
10000000,Float32,CUB,hist,1.000,48.474,43.904,9.60
10000000,Float32,CUB,scan_hist,1.000,2.929,2.720,0.58
1000000,Float32,CUB,onesweep,4.000,95.933,21.120,86.40
1000000,Float32,CUB,hist,1.000,12.474,12.384,11.23
1000000,Float32,CUB,scan_hist,1.000,2.631,2.560,2.37
100000000,Float64,CUB,onesweep,8.000,10799.273,1185.530,94.93
100000000,Float64,CUB,hist,1.000,573.990,543.614,5.05
100000000,Float64,CUB,scan_hist,1.000,2.871,2.688,0.03
10000000,Float64,CUB,onesweep,8.000,1402.941,148.927,93.78
10000000,Float64,CUB,hist,1.000,89.792,87.904,6.00
10000000,Float64,CUB,scan_hist,1.000,3.230,3.136,0.22
1000000,Float64,CUB,onesweep,8.000,231.872,20.544,89.52
1000000,Float64,CUB,hist,1.000,24.353,24.095,9.40
1000000,Float64,CUB,scan_hist,1.000,2.806,2.783,1.08
100000000,UInt32,CUB,onesweep,4.000,3672.595,914.075,91.03
100000000,UInt32,CUB,hist,1.000,359.120,357.919,8.90
100000000,UInt32,CUB,scan_hist,1.000,2.893,2.688,0.07
10000000,UInt32,CUB,onesweep,4.000,447.808,109.632,90.14
10000000,UInt32,CUB,hist,1.000,46.173,44.544,9.29
10000000,UInt32,CUB,scan_hist,1.000,2.809,2.719,0.57
1000000,UInt32,CUB,onesweep,4.000,98.244,22.880,86.68
1000000,UInt32,CUB,hist,1.000,12.469,12.383,11.00
1000000,UInt32,CUB,scan_hist,1.000,2.630,2.560,2.32
100000000,UInt64,CUB,onesweep,8.000,10996.977,1287.162,94.60
100000000,UInt64,CUB,hist,1.000,624.452,583.581,5.37
100000000,UInt64,CUB,scan_hist,1.000,2.765,2.528,0.02
10000000,UInt64,CUB,onesweep,8.000,1385.050,170.688,94.13
10000000,UInt64,CUB,hist,1.000,83.287,82.400,5.66
10000000,UInt64,CUB,scan_hist,1.000,3.061,2.912,0.21
1000000,UInt64,CUB,onesweep,8.000,236.127,26.976,90.22
1000000,UInt64,CUB,hist,1.000,22.734,22.528,8.69
1000000,UInt64,CUB,scan_hist,1.000,2.864,2.816,1.09
100000000,Float32,KernelForge,onesweep,4.000,3739.941,871.897,88.62
100000000,Float32,KernelForge,hist,1.000,473.464,452.280,11.22
100000000,Float32,KernelForge,fill,2.000,3.684,1.192,0.09
100000000,Float32,KernelForge,scan_hist,1.000,3.099,2.623,0.07
10000000,Float32,KernelForge,onesweep,4.000,560.033,132.799,88.60
10000000,Float32,KernelForge,hist,1.000,65.267,64.850,10.33
10000000,Float32,KernelForge,scan_hist,1.000,3.600,3.338,0.57
10000000,Float32,KernelForge,fill,2.000,3.207,1.192,0.51
1000000,Float32,KernelForge,onesweep,4.000,127.852,29.564,87.42
1000000,Float32,KernelForge,hist,1.000,11.718,11.444,8.01
1000000,Float32,KernelForge,fill,2.000,3.338,1.192,2.28
1000000,Float32,KernelForge,scan_hist,1.000,3.338,3.338,2.28
100000000,Float64,KernelForge,onesweep,8.000,11642.385,1369.238,92.20
100000000,Float64,KernelForge,hist,1.000,978.100,953.197,7.75
100000000,Float64,KernelForge,fill,2.000,4.232,1.669,0.03
100000000,Float64,KernelForge,scan_hist,1.000,3.171,2.861,0.03
10000000,Float64,KernelForge,onesweep,8.000,1637.959,193.834,92.15
10000000,Float64,KernelForge,hist,1.000,131.381,129.461,7.39
10000000,Float64,KernelForge,fill,2.000,4.554,1.907,0.26
10000000,Float64,KernelForge,scan_hist,1.000,3.672,3.576,0.21
1000000,Float64,KernelForge,onesweep,8.000,299.490,34.809,90.44
1000000,Float64,KernelForge,hist,1.000,25.094,24.319,7.58
1000000,Float64,KernelForge,scan_hist,1.000,3.338,3.338,1.01
1000000,Float64,KernelForge,fill,2.000,3.242,1.192,0.98
100000000,UInt32,KernelForge,onesweep,4.000,3658.807,832.081,87.01
100000000,UInt32,KernelForge,hist,1.000,539.351,491.619,12.83
100000000,UInt32,KernelForge,fill,2.000,3.755,1.192,0.09
100000000,UInt32,KernelForge,scan_hist,1.000,3.207,2.623,0.08
10000000,UInt32,KernelForge,onesweep,4.000,528.574,128.746,87.29
10000000,UInt32,KernelForge,hist,1.000,70.071,69.380,11.57
10000000,UInt32,KernelForge,scan_hist,1.000,3.576,3.338,0.59
10000000,UInt32,KernelForge,fill,2.000,3.326,1.192,0.55
1000000,UInt32,KernelForge,onesweep,4.000,118.852,27.895,86.31
1000000,UInt32,KernelForge,hist,1.000,12.374,12.159,8.99
1000000,UInt32,KernelForge,scan_hist,1.000,3.374,3.099,2.45
1000000,UInt32,KernelForge,fill,2.000,3.099,1.192,2.25
100000000,UInt64,KernelForge,onesweep,8.000,11148.036,1338.959,91.72
100000000,UInt64,KernelForge,hist,1.000,998.509,963.449,8.22
100000000,UInt64,KernelForge,fill,2.000,4.303,1.669,0.04
100000000,UInt64,KernelForge,scan_hist,1.000,2.968,2.623,0.02
10000000,UInt64,KernelForge,onesweep,8.000,1549.244,188.589,91.66
10000000,UInt64,KernelForge,hist,1.000,132.942,130.653,7.87
10000000,UInt64,KernelForge,fill,2.000,4.613,1.907,0.27
10000000,UInt64,KernelForge,scan_hist,1.000,3.409,3.099,0.20
1000000,UInt64,KernelForge,onesweep,8.000,268.555,31.710,89.42
1000000,UInt64,KernelForge,hist,1.000,25.058,24.557,8.34
1000000,UInt64,KernelForge,fill,2.000,3.374,1.192,1.12
1000000,UInt64,KernelForge,scan_hist,1.000,3.338,3.099,1.11
