n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,376.80320674553514,5.754861866589636,392.8672083823606,1.0378069520816762
1,10000000,Float32,cuBLAS,433.8376224040985,9.205169314518571,449.9121290887594,0.887354666836126
10,1000000,Float32,KernelForge,367.5552085042,6.540059018880129,382.73021962453424,0.7783840630990825
10,1000000,Float32,cuBLAS,265.1960006915033,1.5122462552972138,282.7270006514266,3.11940143722815
100,100000,Float32,KernelForge,385.4455891996622,0.7982282526791096,400.95809726944566,0.6894285653159639
100,100000,Float32,cuBLAS,81.49920031428337,2.981809184420854,96.75769445580431,0.9362561292446829
1000,10000,Float32,KernelForge,174.6680063661188,6.014612257713452,190.52750752614065,0.9710859399360366
1000,10000,Float32,cuBLAS,45.56079948088154,7.704774025187362,61.322801755210385,1.1453036079419605
10000,1000,Float32,KernelForge,385.1071931421757,0.6428561126813293,401.59718293750285,1.7235265132392366
10000,1000,Float32,cuBLAS,39.50079990318045,0.9512336514308117,54.47330141644925,1.2231412359250478
100000,100,Float32,KernelForge,395.6327913329005,3.2818696880713105,412.8797960177362,0.8977117917103062
100000,100,Float32,cuBLAS,50.76160014141351,4.04808544612024,65.3306007231865,1.1905240367756165
1000000,10,Float32,KernelForge,393.0144011974335,2.2938879020512104,408.35691231571883,0.9636990360156464
1000000,10,Float32,cuBLAS,47.527199785690755,2.1610375595628284,62.76719875979796,1.1290001498933684
10000000,1,Float32,KernelForge,398.23841070756316,16.896884192246944,414.83991335995495,1.2883653514147257
10000000,1,Float32,cuBLAS,87.99119968898594,0.7223199354484677,103.6232011966817,0.5552339505008927
1,100000000,Float32,KernelForge,558.2520039752126,0.18381618428975344,582.6634974561184,5.401872680747435
1,100000000,Float32,cuBLAS,4178.7199676036835,36.730374321341515,4209.043242611886,6.318390641567295
10,10000000,Float32,KernelForge,306.1856026761234,0.6120129651390016,319.72361209300163,0.4825717518710012
10,10000000,Float32,cuBLAS,1057.4727784842253,0.33808370120823383,1081.4128964074553,2.8653481822852362
100,1000000,Float32,KernelForge,379.2680101469159,6.870962670072913,402.68698808246853,3.822861521504288
100,1000000,Float32,cuBLAS,308.113603387028,1.7091453191824257,321.3305890050233,0.8695424580538818
1000,100000,Float32,KernelForge,244.57440013065934,3.4728486626408994,256.8164065229669,0.4685016003644555
1000,100000,Float32,cuBLAS,251.2959996238351,0.6262522470206022,264.05498740933837,0.4484714486820823
10000,10000,Float32,KernelForge,247.8520036675036,3.744447862263769,260.63752088803795,0.4062088167059971
10000,10000,Float32,cuBLAS,246.68641854077578,0.6998132402077317,258.7289276468605,0.7020231425124575
100000,1000,Float32,KernelForge,335.21760487928987,2.4527982878498733,347.70663155317305,0.8391209938107227
100000,1000,Float32,cuBLAS,251.154403667897,0.6132211466319859,263.175415819779,0.40179563868617013
1000000,100,Float32,KernelForge,298.5359984450042,2.1088462765328586,311.22800278814884,0.6241545302799707
1000000,100,Float32,cuBLAS,300.48800399526954,0.5028969165869057,312.90249278945475,0.6338230399310061
10000000,10,Float32,KernelForge,294.4903913885355,2.2072785487398505,307.24987982562186,0.5729998137005942
10000000,10,Float32,cuBLAS,296.08559561893344,0.4187039262615144,308.5370972737893,0.8598944533886193
100000000,1,Float32,KernelForge,498.4184168279171,7.067861733958125,520.4953981371075,2.4492331233566724
100000000,1,Float32,cuBLAS,698.7519795075059,0.6096483813598752,719.7434763761461,0.6545824503160826
10,100000000,Float32,KernelForge,2736.1519634723663,1.869298405945301,2762.3770456900593,2.265453941200514
10,100000000,Float32,cuBLAS,7014.65904712677,25.48917755484581,7038.961638540745,1.461882125366011
100,10000000,Float32,KernelForge,3928.139992058277,36.69364560395479,3954.0459830956456,2.3773962449586388
100,10000000,Float32,cuBLAS,3221.0249453783035,19.405465945601463,3244.5098688052294,1.5857425507547493
1000,1000000,Float32,KernelForge,2355.294395238161,5.816530901938677,2380.135828279972,2.323128338314724
1000,1000000,Float32,cuBLAS,2665.641624480486,43.59795408323407,2691.8258998894694,1.1586984128499775
10000,100000,Float32,KernelForge,2328.4328170120716,0.9454192779958248,2352.5538383833173,1.7896647935973817
10000,100000,Float32,cuBLAS,2291.1696694791317,0.9440384991466999,2314.6806031992437,2.0512488473895933
100000,10000,Float32,KernelForge,2429.632842540741,1.35813407599926,2455.1444034817814,1.9012608989390338
100000,10000,Float32,cuBLAS,2329.4679820537567,1.5928664803504944,2352.4029986952546,0.9541674960917802
1000000,1000,Float32,KernelForge,2577.9816322028637,0.5894544906914234,2602.1156873698237,0.7262291582614111
1000000,1000,Float32,cuBLAS,2452.3887783288956,2.5453277304768562,2474.763842673242,1.2231590528377003
10000000,100,Float32,KernelForge,2683.460060507059,5.4619468934834,2708.813545951307,1.6049742116821948
10000000,100,Float32,cuBLAS,2919.30316016078,0.2503352053463459,2943.504683838546,0.5402280796269611
100000000,10,Float32,KernelForge,2961.2000100314617,4.099118169397116,2985.55095753479,1.2067009329138305
100000000,10,Float32,cuBLAS,2598.5216721892357,0.1281362771987915,2622.7102520827057,0.6938718526544493
