n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,339.11720383912325,31.98877975344658,348.127216517143,0.6375017174802028
1,10000000,Float32,LinearAlgebra,52390.92707633972,89.79260087013245,52401.54324682045,4.098046382074866
10,1000000,Float32,KernelForge,354.9753106199205,7.40565201966092,363.81030898622424,0.8161548534216013
10,1000000,Float32,LinearAlgebra,5483.334511518478,1.2438055872917175,5492.574744881153,0.4822494016265232
100,100000,Float32,KernelForge,358.95233741030097,2.3751639970578253,368.24232588578013,0.8384185951227987
100,100000,Float32,LinearAlgebra,797.1941959112883,2.109761042520404,805.868713382259,0.5048646866614158
1000,10000,Float32,KernelForge,226.33244516327977,0.3899146872572601,235.17793756772576,1.157165286517729
1000,10000,Float32,LinearAlgebra,85.94355022069067,0.013346090563572943,94.8035508761201,0.4366258098713527
10000,1000,Float32,KernelForge,229.17945170775056,0.6256481562741101,238.91444530004264,0.48776911070700024
10000,1000,Float32,LinearAlgebra,15.54910049890168,0.010378494771430269,25.504100295886865,1.6301194368830096
100000,100,Float32,KernelForge,226.68445017188787,1.721313432790339,237.08444579600913,1.1037904166596053
100000,100,Float32,LinearAlgebra,37.26825234480202,1.5448671556077898,47.89875101135951,1.0519018816985009
1000000,10,Float32,KernelForge,190.8461970742792,4.808070439612493,203.13619989469277,2.0904654983906563
1000000,10,Float32,LinearAlgebra,282.7738062478602,1.5329924575053155,294.7988059134856,1.2528052765541067
10000000,1,Float32,KernelForge,231.66047176346183,4.991947032976896,242.20647484277188,1.4240541093807737
10000000,1,Float32,LinearAlgebra,2421.9533428549767,4.960862249135971,2441.0067679385543,2.3195638158723106
1,10000000,Float64,KernelForge,372.44034465402365,7.638365034945309,384.47135606537756,1.223152651668861
1,10000000,Float64,LinearAlgebra,76063.26043605804,0.5699855089187622,76078.740135746,0.8991684548147532
10,1000000,Float64,KernelForge,370.13430846855044,5.547883117105812,380.31880403768275,0.6523487677188767
10,1000000,Float64,LinearAlgebra,7607.071101665497,0.0949975848197937,7616.317676817894,0.9274566282992561
100,100000,Float64,KernelForge,138.4738483466208,1.8487938400357962,149.22885041810946,1.1267723605983346
100,100000,Float64,LinearAlgebra,1910.1399928331375,0.7116534188389778,1919.854510467112,0.540373440822134
1000,10000,Float64,KernelForge,149.32090416550636,0.5752497282810509,159.52040437863394,0.808009599439609
1000,10000,Float64,LinearAlgebra,197.29220075532794,0.01631045015528798,207.16220265580714,0.37064498269152163
10000,1000,Float64,KernelForge,120.91372045688331,2.5249008333776146,131.42871804671734,0.9117971180536429
10000,1000,Float64,LinearAlgebra,44.52224966371432,0.12453977979021147,53.13724838882685,1.0526480068930206
100000,100,Float64,KernelForge,242.36650206148624,8.206279375590384,252.65699929063024,1.6308707702849041
100000,100,Float64,LinearAlgebra,81.18249825201929,2.048950679018162,92.58749313397705,1.2527999745607847
1000000,10,Float64,KernelForge,244.99149294570088,0.2134856698103249,256.1764916852191,1.3121101571043843
1000000,10,Float64,LinearAlgebra,527.0122783258557,1.3091509463265538,539.6717585467397,1.4951761036677391
10000000,1,Float64,KernelForge,245.22453313693404,5.90226000873372,255.33452620715647,1.2520509167500704
10000000,1,Float64,LinearAlgebra,4511.556215584278,17.693576328456402,4532.202227708101,2.423354610439702
1,10000000,UInt8,KernelForge,299.97386736795306,9.040925670415163,310.87886285598574,1.3855018375210424
1,10000000,UInt8,rocBLAS gemm_ex,220367.38395690918,46.48253917694092,220382.8349974327,0.8412209983832464
10,1000000,UInt8,KernelForge,364.9252699688077,3.8888945896178484,374.54526470586654,0.6590196997739197
10,1000000,UInt8,rocBLAS gemm_ex,6332.366168498993,1.841406673192978,6341.307004881262,0.7033064266216116
100,100000,UInt8,KernelForge,132.8558020759374,0.11119584669359028,142.28129704370724,1.1860616876138386
100,100000,UInt8,rocBLAS gemm_ex,2131.9094114005566,0.5248340405523777,2140.874940122485,0.5573054800586864
1000,10000,UInt8,KernelForge,134.789856383577,0.3306188655551523,144.0998579508476,1.0304051183574345
