n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
100000,Float32,KernelForge,685.7084576040506,4.369267551228404,697.773952241376,2.7776869610801374
100000,Float32,AK,144.9409974156879,4.151268460555002,155.01599263925476,1.1860666878724497
100000,Float32,KernelForge_radix,134.0809976682067,7.4129917222307995,145.29149696652217,1.54931762989753
100000,Float64,KernelForge,692.0554442331195,4.154314803890884,704.0859308433086,2.408496589935068
100000,Float64,AK,138.40149767929688,2.313602835056372,149.31649569470807,1.2453907747638278
100000,Float64,KernelForge_radix,210.80199076095596,13.55097441264661,221.85148351254315,1.429975209520419
100000,Float32_gt,KernelForge,564.965233206749,3.1445857509970665,575.3857047843933,1.5655378132399198
100000,Float32_gt,AK,111.00099800387397,2.6093807668075897,121.43099703868292,1.1119517557845717
100000,KV_lt,KernelForge,516.4528731256723,5.4901147820055485,527.5128580864667,1.4907929336399974
100000,KV_lt,AK,117.00100003508851,1.6308616308378987,128.5909983925186,2.01633938692623
1000000,Float32,KernelForge,1367.0944143086672,2.8198956046253443,1380.6004264284372,2.091207926100384
1000000,Float32,AK,449.10299766343087,9.99271810578648,462.0989949246273,3.372165295917161
1000000,Float32,KernelForge_radix,192.20099784433842,4.834020452108234,203.90550075097383,1.3929019317512101
1000000,Float64,KernelForge,1381.7825354635715,4.252108465880156,1394.6220054492653,1.8598808072955586
1000000,Float64,AK,477.36299165990204,4.685004209750332,490.5079938983396,3.15644359300425
1000000,Float64,KernelForge_radix,382.86299968604,2.8169398749014363,395.243502717942,1.3929250270835607
1000000,Float32_gt,KernelForge,1383.2665979862213,3.4276454150676727,1395.5616215244531,4.217276148782299
1000000,Float32_gt,AK,389.9630100931972,4.210598801728338,404.4830109142438,2.8688523238647883
1000000,KV_lt,KernelForge,1530.669629573822,2.1675466373562813,1542.884658572793,1.7138898810331114
1000000,KV_lt,AK,413.18300645798445,3.350675624096766,426.0880076153129,3.1053005569854193
10000000,Float32,KernelForge,2662.1539145708084,0.9996838867664337,2674.7538809855578,1.2892702257568567
10000000,Float32,AK,3884.109086357057,41.21642124373466,3897.659051861703,1.808765852551801
10000000,Float32,KernelForge_radix,556.3239974435419,2.0163254637736827,566.4339865482748,0.9933406364091069
10000000,Float64,KernelForge,3035.4435555636883,6.417445857077837,3047.1479971820117,2.2756960470421683
10000000,Float64,AK,4582.634661346674,4.923166986554861,4596.444719028474,0.6885612063815835
10000000,Float64,KernelForge_radix,1950.1345232129097,2.074965415522456,1961.223987300068,0.9777864753261563
10000000,Float32_gt,KernelForge,2740.1710860431194,1.0434545762836933,2751.2516451785564,2.507114366797826
10000000,Float32_gt,AK,3289.905027486384,24.551801313646138,3301.080000931024,2.157753082980808
10000000,KV_lt,KernelForge,3337.274305522442,0.5559015646576881,3347.978308804035,2.0955470595554155
10000000,KV_lt,AK,3757.1280263364315,16.100916964933276,3769.2574711384177,3.9577381063120276
100000000,Float32,KernelForge,21266.574412584305,16.855443567037582,21279.5024553895,3.3493473749104847
100000000,Float32,AK,50256.580114364624,7.351266592741013,50271.74801846695,4.0501688690219595
100000000,Float32,KernelForge_radix,4870.316945016384,0.6524180062115192,4880.266404396534,0.8444814360501439
100000000,Float64,KernelForge,25966.12125635147,32.46487230062485,25979.4546860404,3.2965603916281747
100000000,Float64,AK,59762.13701069355,559.5882441848516,59776.62803282833,3.763512267306248
100000000,Float64,KernelForge_radix,18591.600470244884,11.652392707765102,18604.33443830967,1.3693999546407518
100000000,Float32_gt,KernelForge,23000.00712275505,3.5336892306804657,23013.06284317636,2.277040705156184
100000000,Float32_gt,AK,43187.54933774471,7.08891861140728,43200.41799355698,4.138199544829981
100000000,KV_lt,KernelForge,31124.013662338257,8.430483341217041,31137.06587390709,2.068757793129427
100000000,KV_lt,AK,50598.304718732834,71.46359011530876,50611.80887552547,4.313771914263565
