K,M,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
64,65536,Float32,Forge,48.76855091424659,1.4088410217664205,58.32905230479035,1.1282606394738715
64,65536,Float32,CUB,NaN,NaN,NaN,NaN
64,65536,Float32,Thrust,NaN,NaN,NaN,NaN
256,16384,Float32,Forge,60.45740155968815,0.7249908795347437,69.94189968029968,0.8539813788161346
256,16384,Float32,CUB,NaN,NaN,NaN,NaN
256,16384,Float32,Thrust,NaN,NaN,NaN,NaN
1024,4096,Float32,Forge,80.44554851949215,0.01631045015528798,89.93105020161904,0.37805997405352687
1024,4096,Float32,CUB,NaN,NaN,NaN,NaN
1024,4096,Float32,Thrust,NaN,NaN,NaN,NaN
4096,1024,Float32,Forge,181.0282003134489,0.2950379205867648,191.2327011055164,0.8525030281796064
4096,1024,Float32,CUB,NaN,NaN,NaN,NaN
4096,1024,Float32,Thrust,NaN,NaN,NaN,NaN
16384,256,Float32,Forge,641.0822970792651,0.10676872450858355,652.6912940187901,2.0838054790728013
16384,256,Float32,CUB,NaN,NaN,NaN,NaN
16384,256,Float32,Thrust,NaN,NaN,NaN,NaN
65536,64,Float32,Forge,672.3645143210888,0.7828325685113668,682.2090220120699,0.9044073238648473
65536,64,Float32,CUB,NaN,NaN,NaN,NaN
65536,64,Float32,Thrust,NaN,NaN,NaN,NaN
262144,16,Float32,Forge,696.6476328670979,0.5619079526513815,707.1526264272333,1.533709184413662
262144,16,Float32,CUB,NaN,NaN,NaN,NaN
262144,16,Float32,Thrust,NaN,NaN,NaN,NaN
1048576,4,Float32,Forge,710.8737481757998,0.27729491237550974,721.2232698223144,1.3780792247927516
1048576,4,Float32,CUB,NaN,NaN,NaN,NaN
1048576,4,Float32,Thrust,NaN,NaN,NaN,NaN
64,65536,UInt8,Forge,27.292150480207056,0.08895883482182398,37.09214957715664,0.7338878624372285
64,65536,UInt8,CUB,NaN,NaN,NaN,NaN
64,65536,UInt8,Thrust,NaN,NaN,NaN,NaN
256,16384,UInt8,Forge,37.5802512280643,0.21349429967813194,46.83025277719554,0.7931919564282284
256,16384,UInt8,CUB,NaN,NaN,NaN,NaN
256,16384,UInt8,Thrust,NaN,NaN,NaN,NaN
1024,4096,UInt8,Forge,20.675099949585274,0.2624202564766165,30.90960048567038,1.1119503137336664
1024,4096,UInt8,CUB,NaN,NaN,NaN,NaN
1024,4096,UInt8,Thrust,NaN,NaN,NaN,NaN
4096,1024,UInt8,Forge,20.500100072240457,0.21052886135294102,31.760100470550825,1.3795588455380436
4096,1024,UInt8,CUB,NaN,NaN,NaN,NaN
4096,1024,UInt8,Thrust,NaN,NaN,NaN,NaN
16384,256,UInt8,Forge,140.34589985385537,0.19717521965503693,150.80090937354043,1.0674837911609805
16384,256,UInt8,CUB,NaN,NaN,NaN,NaN
16384,256,UInt8,Thrust,NaN,NaN,NaN,NaN
65536,64,UInt8,Forge,145.25995356962085,0.20904991775751114,156.79494582930954,1.674595429838116
65536,64,UInt8,CUB,NaN,NaN,NaN,NaN
65536,64,UInt8,Thrust,NaN,NaN,NaN,NaN
262144,16,UInt8,Forge,152.00600028038025,0.8821450872346759,162.88650040851533,1.5782190454162741
262144,16,UInt8,CUB,NaN,NaN,NaN,NaN
262144,16,UInt8,Thrust,NaN,NaN,NaN,NaN
1048576,4,UInt8,Forge,157.75900101289153,0.07116188993677497,170.54900036746264,2.200915922095181
1048576,4,UInt8,CUB,NaN,NaN,NaN,NaN
1048576,4,UInt8,Thrust,NaN,NaN,NaN,NaN
