n,type,method,kernel,calls_per_sort,per_sort_us,min_dispatch_us,pct
100000000,Float32,KernelForge,onesweep,4.000,4560.041,1091.534,87.37
100000000,Float32,KernelForge,hist_count,1.000,335.829,318.724,6.43
100000000,Float32,KernelForge,hist_combine,1.000,311.397,296.484,5.97
100000000,Float32,KernelForge,fill,1.000,6.543,3.200,0.13
100000000,Float32,KernelForge,scan_hist,1.000,4.498,3.840,0.09
100000000,Float32,KernelForge,copy,0.312,0.930,1.640,0.02
10000000,Float32,KernelForge,onesweep,4.000,484.310,114.761,81.64
10000000,Float32,KernelForge,hist_count,1.000,51.268,48.160,8.64
10000000,Float32,KernelForge,hist_combine,1.000,48.328,45.041,8.15
10000000,Float32,KernelForge,scan_hist,1.000,4.668,3.080,0.79
10000000,Float32,KernelForge,fill,1.000,3.562,2.080,0.60
10000000,Float32,KernelForge,copy,0.312,1.083,2.280,0.18
1000000,Float32,KernelForge,onesweep,4.000,116.761,24.600,74.03
1000000,Float32,KernelForge,hist_count,1.000,27.605,23.641,17.50
1000000,Float32,KernelForge,hist_combine,1.000,6.700,5.921,4.25
1000000,Float32,KernelForge,scan_hist,1.000,3.620,2.880,2.30
1000000,Float32,KernelForge,fill,1.000,2.150,1.480,1.36
1000000,Float32,KernelForge,copy,0.312,0.885,2.600,0.56
100000000,Float64,KernelForge,onesweep,8.000,18126.972,2216.309,94.49
100000000,Float64,KernelForge,hist_count,1.000,716.542,685.489,3.74
100000000,Float64,KernelForge,hist_combine,1.000,331.417,322.324,1.73
100000000,Float64,KernelForge,scan_hist,1.000,4.237,3.800,0.02
100000000,Float64,KernelForge,fill,1.000,3.978,3.000,0.02
100000000,Float64,KernelForge,copy,0.312,0.960,1.360,0.01
10000000,Float64,KernelForge,onesweep,8.000,1856.438,205.202,91.88
10000000,Float64,KernelForge,hist_count,1.000,102.636,97.401,5.08
10000000,Float64,KernelForge,hist_combine,1.000,49.906,46.880,2.47
10000000,Float64,KernelForge,fill,1.000,5.822,2.120,0.29
10000000,Float64,KernelForge,scan_hist,1.000,4.710,3.880,0.23
10000000,Float64,KernelForge,copy,0.312,1.055,1.800,0.05
1000000,Float64,KernelForge,onesweep,8.000,304.738,34.480,82.03
1000000,Float64,KernelForge,hist_count,1.000,51.503,46.720,13.86
1000000,Float64,KernelForge,hist_combine,1.000,6.823,6.120,1.84
1000000,Float64,KernelForge,scan_hist,1.000,3.925,3.440,1.06
1000000,Float64,KernelForge,fill,1.000,3.400,1.680,0.92
1000000,Float64,KernelForge,copy,0.312,1.113,2.160,0.30
100000000,UInt32,KernelForge,onesweep,4.000,4515.167,1042.251,88.72
100000000,UInt32,KernelForge,hist_combine,1.000,332.896,318.803,6.54
100000000,UInt32,KernelForge,hist_count,1.000,232.655,219.882,4.57
100000000,UInt32,KernelForge,scan_hist,1.000,4.173,3.680,0.08
100000000,UInt32,KernelForge,fill,1.000,3.643,2.920,0.07
100000000,UInt32,KernelForge,copy,0.312,0.698,1.880,0.01
10000000,UInt32,KernelForge,onesweep,4.000,433.767,103.641,82.58
10000000,UInt32,KernelForge,hist_combine,1.000,47.063,45.241,8.96
10000000,UInt32,KernelForge,hist_count,1.000,34.623,32.441,6.59
10000000,UInt32,KernelForge,scan_hist,1.000,4.500,3.841,0.86
10000000,UInt32,KernelForge,fill,1.000,4.225,2.320,0.80
10000000,UInt32,KernelForge,copy,0.312,1.073,1.960,0.20
1000000,UInt32,KernelForge,onesweep,4.000,123.171,25.560,78.58
1000000,UInt32,KernelForge,hist_count,1.000,19.713,15.520,12.58
1000000,UInt32,KernelForge,hist_combine,1.000,6.952,5.840,4.44
1000000,UInt32,KernelForge,scan_hist,1.000,3.530,2.800,2.25
1000000,UInt32,KernelForge,fill,1.000,2.470,1.080,1.58
1000000,UInt32,KernelForge,copy,0.312,0.900,2.400,0.57
100000000,UInt64,KernelForge,onesweep,8.000,17642.378,2160.985,95.35
100000000,UInt64,KernelForge,hist_count,1.000,511.688,491.445,2.77
100000000,UInt64,KernelForge,hist_combine,1.000,340.381,326.444,1.84
100000000,UInt64,KernelForge,scan_hist,1.000,4.060,3.720,0.02
