n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,204.62331594899297,18.709070133045316,213.93881700589878,0.9488611160500241
1,10000000,Float32,LinearAlgebra,8080.506697297096,3.091287687420845,8094.757513498306,1.7656346020283584
10,1000000,Float32,KernelForge,208.4573614411056,38.29138795961626,218.04185669774935,0.8510060568621519
10,1000000,Float32,LinearAlgebra,826.7243392765522,0.46697940677404404,838.738848918736,1.4981639132256246
100,100000,Float32,KernelForge,197.4782790057361,29.764862819574773,208.65827753915636,2.749477042456175
100,100000,Float32,LinearAlgebra,86.30555239506066,0.08154362090863287,95.39555067098141,0.9125474654386191
1000,10000,Float32,KernelForge,187.0281994342804,42.758449172833934,196.84269092183933,0.9036417027985949
1000,10000,Float32,LinearAlgebra,17.319099424639717,0.081542542175157,25.139599707591344,0.8154298745976637
10000,1000,Float32,KernelForge,208.48334534093738,0.008888763841241598,219.8583428307958,1.1623730632251579
10000,1000,Float32,LinearAlgebra,14.743050269316882,0.007413056446239352,24.118050436023623,0.9340390974602901
100000,100,Float32,KernelForge,292.32187662273645,38.143031902145594,302.7718704501055,1.4307005429836042
100000,100,Float32,LinearAlgebra,93.86659949086607,0.005928719183430076,103.10659625374899,1.6086218781201063
1000000,10,Float32,KernelForge,296.72192176803946,48.41014096979052,305.57691579062123,1.0370928543253002
1000000,10,Float32,LinearAlgebra,18.82209980976768,0.03854854076053016,28.52210012441734,0.7635399092808446
10000000,1,Float32,KernelForge,169.00207265280187,2.8629500151146203,179.68207471258566,0.9043779721241699
10000000,1,Float32,LinearAlgebra,26.743148919194937,0.44329904951155186,36.41314811202231,1.355839236444404
1,10000000,Float64,KernelForge,202.8170390985906,3.3718446898274124,214.9720451198034,1.3936612966742048
1,10000000,Float64,LinearAlgebra,8460.131660103798,6.833750680088997,8486.142719676971,4.921342264816846
10,1000000,Float64,KernelForge,159.62302568368614,7.974973028758541,170.15802537146584,1.4018009319301665
10,1000000,Float64,LinearAlgebra,862.5416550785303,1.2839172128587961,875.7761835338175,1.4069339491007247
100,100000,Float64,KernelForge,248.7375750206411,2.5412026536650956,261.8420665018484,2.882897128607372
100,100000,Float64,LinearAlgebra,96.383600612171,0.3365518996724859,107.18360698464885,1.5189170612705307
1000,10000,Float64,KernelForge,100.74065066874027,10.11140036280267,111.85064987046086,1.9718623895373804
1000,10000,Float64,LinearAlgebra,24.425151059404016,0.08154362090863287,33.76065084431041,1.0237338576453219
10000,1000,Float64,KernelForge,209.4953553751111,30.276398233836517,219.35536974888294,0.9118221346126738
10000,1000,Float64,LinearAlgebra,22.344099124893546,0.062268811161629856,33.14909943892853,0.9043858747495562
100000,100,Float64,KernelForge,267.292745411396,38.53600156260654,275.7482413050681,1.022998513876498
100000,100,Float64,LinearAlgebra,102.38565155304968,0.013350405497476459,110.60115212194994,0.7865230786642525
1000000,10,Float64,KernelForge,371.1993689648807,1.2528324290178716,381.44036712443454,0.992589734936905
1000000,10,Float64,LinearAlgebra,32.08719863323495,0.001482179795857519,42.12219706348609,0.7568661867580989
10000000,1,Float64,KernelForge,255.80463698133826,46.39380687614903,265.54463953568415,0.6746011152164509
10000000,1,Float64,LinearAlgebra,44.28624961292371,0.21646081673679873,53.35574972343166,0.6219520640465752
1,10000000,UInt8,KernelForge,206.03635348379612,36.089701565215364,214.38535988689213,0.7539107381414368
1,10000000,UInt8,rocBLAS gemm_ex,156.34900773875415,0.05040705786086619,165.6495087981187,0.9191989548156569
10,1000000,UInt8,KernelForge,199.2922741919756,8.606532644480467,209.21177700150386,1.0748749659905596
10,1000000,UInt8,rocBLAS gemm_ex,260.13763854280114,0.06225586635991931,267.6926405837089,0.9785301582743862
100,100000,UInt8,KernelForge,233.43749344348907,38.32990305963904,241.49698822547123,0.8962414841160838
100,100000,UInt8,rocBLAS gemm_ex,35.35919968271628,0.06078663136577234,44.14920018560253,0.5708046846732537
1000,10000,UInt8,KernelForge,113.85675170458853,24.135392932221293,121.98175876871125,0.8228364510929432
1000,10000,UInt8,rocBLAS gemm_ex,38.218198460526764,0.014826112892478704,46.683197514006864,0.7783644511445507
10000,1000,UInt8,KernelForge,209.42435367032886,36.15201784064993,218.18934787603467,0.6152797527177691
10000,1000,UInt8,rocBLAS gemm_ex,203.38729955255985,0.23128045722842216,211.21680143126844,0.16308498094654686
100000,100,UInt8,KernelForge,152.9159431811422,0.44922776869498193,163.29094948463515,1.3639805862611059
100000,100,UInt8,rocBLAS gemm_ex,1759.0541392564774,0.31592220067977905,1768.0335918477772,0.858277873655366
1000000,10,UInt8,KernelForge,260.55267080664635,35.558852506801486,270.1976881202981,1.46032480406442
1000000,10,UInt8,rocBLAS gemm_ex,17425.17352104187,4.836039841175079,17433.76011373329,0.4167705246770096
10000000,1,UInt8,KernelForge,311.64102256298065,66.07254621572793,320.9665269660577,0.7338935118083021
10000000,1,UInt8,rocBLAS gemm_ex,174141.5798664093,31.928025484085083,174156.44821508788,0.7287774809140217
1,100000000,Float32,KernelForge,344.66820070520043,10.677752697374672,355.5482186099738,2.409222724189286
1,100000000,Float32,LinearAlgebra,NaN,NaN,NaN,NaN
10,10000000,Float32,KernelForge,258.07064957916737,11.408685240894556,266.8006511202529,0.5026256293218188
10,10000000,Float32,LinearAlgebra,8855.11226952076,0.3275207430124283,8870.212336961984,1.217206228194776
100,1000000,Float32,KernelForge,299.1679240949452,62.32818465214223,308.9434230826795,1.808793699768088
100,1000000,Float32,LinearAlgebra,901.1538233608007,1.2601678166538477,915.7888625968694,1.9792983431767759
1000,100000,Float32,KernelForge,279.07603653147817,8.222175592090935,290.3060434911847,1.9955816782378177
1000,100000,Float32,LinearAlgebra,201.8392668105662,1.6546045546419919,212.64926412078364,2.097872743895392
10000,10000,Float32,KernelForge,139.4058926962316,8.450892978580669,149.3063928174004,1.2083145996787552
10000,10000,Float32,LinearAlgebra,148.33894674666226,1.168285614112392,158.58894628394768,0.5782129964775505
100000,1000,Float32,KernelForge,238.5640051215887,7.835574774071574,249.4795048230514,1.3491675991075889
100000,1000,Float32,LinearAlgebra,188.23719583451748,0.3854789352044463,196.4021915602535,0.43069431261608954
1000000,100,Float32,KernelForge,333.26115226373076,36.72015655785799,340.92117542802544,0.45075123845650766
1000000,100,Float32,LinearAlgebra,165.28405249118805,0.9117973130196333,174.38355717713387,0.778357724234393
10000000,10,Float32,KernelForge,342.59218955412507,47.06579742254689,351.16266404549776,0.6752723842838619
10000000,10,Float32,LinearAlgebra,156.75700269639492,0.6078706285916269,166.18200553220137,1.326937912129552
100000000,1,Float32,KernelForge,293.1398688815534,14.016614032443613,302.88487874455006,0.6523407407543665
100000000,1,Float32,LinearAlgebra,286.13832546398044,7.840769954491407,296.02834822990746,1.1341945195253849
1,100000000,Float64,KernelForge,548.1465486809611,21.024877899326384,558.1160161926896,1.1416759224589657
1,100000000,Float64,LinearAlgebra,NaN,NaN,NaN,NaN
10,10000000,Float64,KernelForge,512.6003175973892,10.367923183366656,525.3458269081711,2.0385487590823295
10,10000000,Float64,LinearAlgebra,9209.8668217659,0.7456205785274506,9235.351890208243,3.7432363836475355
100,1000000,Float64,KernelForge,290.65486742183566,2.5130002456717193,305.26989930702746,2.6908400369028915
100,1000000,Float64,LinearAlgebra,1011.2275835126638,8.111454388126731,1026.352563818872,2.817735108841297
1000,100000,Float64,KernelForge,270.6037135794759,3.8577062473632395,283.7341915737987,1.3573038417789622
1000,100000,Float64,LinearAlgebra,297.8229080326855,1.9318304280750453,310.1329094423279,1.5196594984358105
10000,10000,Float64,KernelForge,333.40916270390153,26.52237984817475,343.9241624059081,1.8088149467069983
10000,10000,Float64,LinearAlgebra,276.3057709671557,7.238094506319612,287.765760907203,1.4825843201515618
100000,1000,Float64,KernelForge,322.54107063636184,39.53820537077263,333.3215544895902,0.8220906684385771
100000,1000,Float64,LinearAlgebra,266.12969813868403,2.615315958391875,277.30469814837727,1.1934936117844859
1000000,100,Float64,KernelForge,440.2913386002183,19.228691733442247,449.7263410016745,0.5707961057685085
1000000,100,Float64,LinearAlgebra,322.47407361865044,4.0593862580135465,331.6990654137805,0.667172008260018
10000000,10,Float64,KernelForge,351.01225366815925,7.490172944962978,359.83676385709646,1.192064506360553
10000000,10,Float64,LinearAlgebra,307.333969976753,3.985255693551153,319.07397641227396,1.8236124246100474
100000000,1,Float64,KernelForge,528.0038807541132,14.8912856541574,538.9683691553175,1.8688220671113873
100000000,1,Float64,LinearAlgebra,505.240261554718,1.2632055301219225,516.9307511516512,1.2883850586968135
1,100000000,UInt8,KernelForge,266.2877202965319,2.582660538610071,275.8972258521616,0.9555426275442035
1,100000000,UInt8,rocBLAS gemm_ex,6026.395782828331,0.1795012503862381,6035.55100235486,0.615016842897804
10,10000000,UInt8,KernelForge,231.96849506348372,25.35560446092859,243.40849617336693,1.7420669141331178
10,10000000,UInt8,rocBLAS gemm_ex,192.75022204965353,2.2076237434521317,201.73072268200667,0.607857360947257
100,1000000,UInt8,KernelForge,205.1912946626544,0.11564022861421108,216.3062986487597,1.2824625477050209
100,1000000,UInt8,rocBLAS gemm_ex,309.54600078985095,0.059287191834300756,317.6309957180247,0.5552251702110766
1000,100000,UInt8,KernelForge,191.48121937178075,1.7198549851309508,203.74671949131044,0.6071113881761762
1000,100000,UInt8,rocBLAS gemm_ex,84.71452456433326,1.0734390519792214,93.23952547351084,0.40770910411574435
10000,10000,UInt8,KernelForge,151.91397978924215,3.503424284281209,162.88898194633796,1.1786677721978138
10000,10000,UInt8,rocBLAS gemm_ex,202.72929687052965,0.22534310817718506,212.6432988334112,1.0756228036580806
100000,1000,UInt8,KernelForge,158.9299994520843,0.013341775629669428,167.4304992377907,0.5708051391883808
100000,1000,UInt8,rocBLAS gemm_ex,1764.8023553192616,0.08464174345135689,1774.496868052125,0.9110627017773598
1000000,100,UInt8,KernelForge,282.1698319166899,47.02395982341841,294.12483306746185,2.1505046168812516
1000000,100,UInt8,rocBLAS gemm_ex,25003.31476330757,52.411051243543625,25012.38346701288,1.1133553753585474
10000000,10,UInt8,KernelForge,171.37309769168496,0.8658346370793879,183.11309702963382,1.2602146252667015
10000000,10,UInt8,rocBLAS gemm_ex,174137.00819015503,13.220129013061523,174153.84234975814,1.3757383971000847
100000000,1,UInt8,KernelForge,304.25599543377757,49.557723531033844,314.3759979821816,1.3632873633899605
100000000,1,UInt8,rocBLAS gemm_ex,3.9950708389282227e6,4364.763450622559,3.995090771941101e6,4.1605610000319775
10,100000000,Float32,KernelForge,1907.9480320215225,29.295156374573708,1918.5834832193254,1.068937931856325
10,100000000,Float32,LinearAlgebra,NaN,NaN,NaN,NaN
100,10000000,Float32,KernelForge,1724.3118025362492,1.3611717894673347,1737.4267978945672,1.1342446776867339
100,10000000,Float32,LinearAlgebra,8978.189900517464,2.366654947400093,8995.379424167633,4.500481109493971
1000,1000000,Float32,KernelForge,1483.5203997790813,5.311027765274048,1493.7754429959655,0.6070273610561661
1000,1000000,Float32,LinearAlgebra,1991.2466406822205,2.0474188774824142,2005.0611751405597,2.106740386200111
10000,100000,Float32,KernelForge,1241.5554840117693,7.1217121090739965,1254.0755655371845,2.7050343986243095
10000,100000,Float32,LinearAlgebra,1428.4657780081034,5.029003685340285,1439.665767890662,2.342574355150209
100000,10000,Float32,KernelForge,1365.049323067069,22.53935066051781,1377.3593171829284,2.075710939777669
100000,10000,Float32,LinearAlgebra,1453.2568864524364,31.260695066303015,1465.7018868273497,1.5938059145598096
1000000,1000,Float32,KernelForge,1581.7918814718723,3.4233650006353855,1591.647412248194,0.873236419941641
1000000,1000,Float32,LinearAlgebra,1815.3553828597069,1.8044018000364304,1825.9004284882544,1.7190442190307875
10000000,100,Float32,KernelForge,1535.2866612374783,31.716352086514235,1548.751678053081,1.7717560417299203
10000000,100,Float32,LinearAlgebra,1438.6620372533798,4.8484668508172035,1454.6659905297458,1.9067194921086283
100000000,10,Float32,KernelForge,1968.227606266737,21.198959592729807,1979.9231302635076,1.6441165720301119
100000000,10,Float32,LinearAlgebra,1612.506527453661,0.7109630294144154,1629.406966296345,3.091861529389804
10,100000000,Float64,KernelForge,4174.761287868023,67.4634737893939,4185.960833414197,0.8221492046245932
10,100000000,Float64,LinearAlgebra,NaN,NaN,NaN,NaN
100,10000000,Float64,KernelForge,2843.7926433980465,23.284764122217894,2861.1670299553275,4.037751423211715
100,10000000,Float64,LinearAlgebra,10143.067315220833,7.4722228199243546,10170.003676665307,3.3213718272490866
1000,1000000,Float64,KernelForge,2600.2012193202972,8.765184134244919,2616.0912030687928,2.3723443894285174
1000,1000000,Float64,LinearAlgebra,3011.816553771496,2.959285229444504,3027.1869155399204,2.5945748363452474
10000,100000,Float64,KernelForge,2514.333464205265,11.53143648058176,2534.094442834079,3.78206015691418
10000,100000,Float64,LinearAlgebra,2976.644318550825,111.07413103803992,2993.1192354646328,2.898507111005762
100000,10000,Float64,KernelForge,2533.3570316433907,7.115429565310478,2547.0769981669782,0.8754033145419189
100000,10000,Float64,LinearAlgebra,2710.8862064778805,16.40627620741725,2726.866685599446,1.5264478478816292
1000000,1000,Float64,KernelForge,3035.625722259283,23.1776156835258,3046.01612313056,2.0080893795800634
1000000,1000,Float64,LinearAlgebra,2827.022224664688,4.253627322614193,2840.28177026999,1.6848961553092763
10000000,100,Float64,KernelForge,3009.8450370132923,7.297278139740229,3021.2759009049532,1.5715210273682645
10000000,100,Float64,LinearAlgebra,2700.073178857565,5.4890101589262486,2717.337615960121,2.3565429040332564
100000000,10,Float64,KernelForge,3968.9479395747185,38.97027377039194,3978.953045604706,1.4248758540212043
100000000,10,Float64,LinearAlgebra,2970.032300800085,11.155174244195223,2988.621797221005,2.372796812819395
10,100000000,UInt8,KernelForge,946.1054112762213,11.51838812045753,956.9209232765138,1.889543888609097
10,100000000,UInt8,rocBLAS gemm_ex,6088.287755846977,1.6961487382650375,6096.092876992345,0.7115045032761635
100,10000000,UInt8,KernelForge,1562.885707244277,13.297521667554975,1571.8367605817616,0.6167977952728065
100,10000000,UInt8,rocBLAS gemm_ex,1126.4165863394737,0.6716108322143555,1136.3965746140777,0.890245999431406
1000,1000000,UInt8,KernelForge,552.0637845620513,20.876651289872825,565.3282715845405,3.0252931179180234
1000,1000000,UInt8,rocBLAS gemm_ex,900.2209175378084,16.70928812585771,909.7464279858173,0.8443366846951141
10000,100000,UInt8,KernelForge,428.07694990187883,0.7368871523067355,439.60694892425835,1.259477750331536
10000,100000,UInt8,rocBLAS gemm_ex,595.3320534899831,1.9807617785409093,604.9025418275296,0.7642116882151462
100000,10000,UInt8,KernelForge,422.6949065923691,6.900097103789449,432.8099027822167,1.0392837084709472
100000,10000,UInt8,rocBLAS gemm_ex,1780.3501337766647,0.14829564839601517,1790.1451454920768,0.6146396779189258
1000000,1000,UInt8,KernelForge,622.6534955203533,15.880613699555397,634.1929452481716,2.6175600046181464
1000000,1000,UInt8,rocBLAS gemm_ex,41009.216010570526,643.1181845068932,41022.401866889,2.2172292968103995
10000000,100,UInt8,KernelForge,576.7541704699397,16.842843960039318,589.6596387797744,3.127561588736792
10000000,100,UInt8,rocBLAS gemm_ex,174227.83970832825,32.22848296165466,174240.76224656677,1.1915651404010685
100000000,10,UInt8,KernelForge,619.7802256792784,18.482208168134093,631.9057371593118,2.1794507967946455
100000000,10,UInt8,rocBLAS gemm_ex,4.1109060287475586e6,17923.101539611816,4.1109230041361083e6,4.203342570001445
