n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,42.55987441865727,0.1709080595173873,52.243874017806725,0.31134380503385095
1,10000000,Float32,LinearAlgebra,50890.38014411926,151.13011121749878,50920.30492542076,10.39863607839942
10,1000000,Float32,KernelForge,48.83115034317598,2.484541099111084,58.55065417273156,0.3847441867487812
10,1000000,Float32,LinearAlgebra,5623.816512525082,10.659888871014118,5636.4650430448055,0.6064247972076917
100,100000,Float32,KernelForge,49.40844955854118,0.6270634545944631,59.11295010829344,0.46998796240419444
100,100000,Float32,LinearAlgebra,810.5699438601732,0.8930187206715345,821.2439572471083,0.6419554829088341
1000,10000,Float32,KernelForge,69.2125759087503,0.3076030081138015,79.90107394117302,0.516680251771939
1000,10000,Float32,LinearAlgebra,87.61942444834858,0.09211089403834194,98.20592658393457,0.4722106558547916
10000,1000,Float32,KernelForge,42.79539862181991,0.08021030633244663,53.761897407798095,1.1519839010396307
10000,1000,Float32,LinearAlgebra,14.320600166684017,0.06834747429820709,23.809101073883937,0.4677602059102775
100000,100,Float32,KernelForge,23.526549921371043,0.06983073282754049,34.15054890070297,0.4492287407453409
100000,100,Float32,LinearAlgebra,10.482850120752119,0.2630130205216119,20.42884907184867,0.2438863672128791
1000000,10,Float32,KernelForge,23.02942521055229,0.6167259516951162,33.58992633789684,1.0081647700393181
1000000,10,Float32,LinearAlgebra,30.50845116376877,0.6999340583570302,41.100950259909034,0.5181703932049184
10000000,1,Float32,KernelForge,25.265500880777836,0.16345832613296807,35.080501097321516,0.5040857405117808
10000000,1,Float32,LinearAlgebra,45.84432463161647,0.8990100063965656,56.78782237031497,0.6493766210812673
1,100000000,Float32,KernelForge,404.6269925311208,0.21695487666875124,415.43548359367253,0.4892499879589011
1,100000000,Float32,LinearAlgebra,732680.3207397461,349.37902450561523,732738.8253934631,4.835979161467775
10,10000000,Float32,KernelForge,196.00715022534132,8.480467535555363,207.4506449397579,0.42772611533185245
10,10000000,Float32,LinearAlgebra,74741.90890789032,84.450643658638,74774.23947395325,1.2389002181238218
100,1000000,Float32,KernelForge,209.57200322300196,0.5602510180324316,221.14049913041293,0.49146651876429537
100,1000000,Float32,LinearAlgebra,10349.451750516891,10.286250114440918,10364.105222136259,0.787232724615378
1000,100000,Float32,KernelForge,182.24581726826727,0.9822601836640388,193.2283132954165,0.4269780579823872
1000,100000,Float32,LinearAlgebra,1064.2753913998604,1.9630532898008823,1075.7963597360254,0.4617881307550218
10000,10000,Float32,KernelForge,190.44647342525423,0.5959010019432753,202.25346625017005,0.5307819318114241
10000,10000,Float32,LinearAlgebra,124.962447443977,1.4265602978412062,136.08344653985648,0.9288537919061648
100000,1000,Float32,KernelForge,134.22849588096142,2.652441649697721,144.9554998915158,0.8050638884978828
100000,1000,Float32,LinearAlgebra,102.97837434336543,0.9361507999710739,114.02387320894749,0.5848849496820334
1000000,100,Float32,KernelForge,111.44964955747128,3.3583130571059883,122.45315900620446,0.7420617925807417
1000000,100,Float32,LinearAlgebra,102.76489774696529,0.4740645282436162,113.63240291332454,0.4981648579428753
10000000,10,Float32,KernelForge,120.3709514811635,0.42053345823660493,131.58445570417865,0.8977192704724717
10000000,10,Float32,LinearAlgebra,114.3542758654803,3.2632378034759313,125.94277103564517,0.8391533252997359
100000000,1,Float32,KernelForge,210.49509523436427,1.3552517001517117,222.67959896009788,1.5396803194388908
100000000,1,Float32,LinearAlgebra,11908.839643001556,253.2348409295082,11923.018534010173,1.2865471201639656
10,100000000,Float32,KernelForge,2135.4515105485916,51.92750249058008,2148.1570019537808,0.5071089497690754
10,100000000,Float32,LinearAlgebra,746902.2035598755,2308.2557344436646,746955.7007861481,2.599264747653238
100,10000000,Float32,KernelForge,2068.676333874464,61.6831192933023,2082.374770219445,0.4819580281261354
100,10000000,Float32,LinearAlgebra,103650.17056465149,1.7408859729766846,103686.18475176621,3.229580885107971
1000,1000000,Float32,KernelForge,1328.9447873830795,12.904206812381744,1342.156698571861,1.2719445472820528
1000,1000000,Float32,LinearAlgebra,10661.092028021812,2.7046696096658707,10677.69860775876,3.4732644758634907
10000,100000,Float32,KernelForge,1141.3366999477148,4.2454116884619,1154.027707969576,0.7901772843799545
10000,100000,Float32,LinearAlgebra,1284.2189986258745,20.081564309075475,1296.5554572078586,0.5997463984201103
100000,10000,Float32,KernelForge,1344.2856725305319,11.52225430123508,1357.2326660651863,0.2512761910208226
100000,10000,Float32,LinearAlgebra,1083.2255240529776,3.7001421209424734,1095.5245584520699,0.994143960774273
1000000,1000,Float32,KernelForge,1092.700008302927,7.303629722446203,1106.0320184058546,1.2852961504337634
1000000,1000,Float32,LinearAlgebra,979.5255027711391,4.345034882426262,991.9030019419192,1.1920279752599758
10000000,100,Float32,KernelForge,1066.2908665835857,2.9599756188690662,1078.8718447946908,0.2979517328584673
10000000,100,Float32,LinearAlgebra,1070.5075226724148,0.3076375275850296,1082.529034797311,0.31059541816159547
100000000,10,Float32,KernelForge,1140.342466533184,9.419673308730125,1153.5424731837213,1.5366580006884427
100000000,10,Float32,LinearAlgebra,1164.6708939224482,34.21314544044435,1177.4094586313665,0.8051636089318955
