n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,28.956973983440548,0.3492615374852903,40.0519745696187,0.7961553222444084
1,10000000,Float32,LinearAlgebra,6085.431016981602,3.1633643433451653,6098.413086938977,0.5826433137350281
10,1000000,Float32,KernelForge,25.55722458055243,0.7087947751278989,36.640223517859354,1.051904511714233
10,1000000,Float32,LinearAlgebra,621.4919034391642,0.2466761413961649,631.8614273261726,0.6323124366754932
100,100000,Float32,KernelForge,22.419050219468772,0.4517476900946349,33.08954990867153,0.7627958498750896
100,100000,Float32,LinearAlgebra,65.48114761244506,0.10400285187643021,75.64564877793192,0.8421205472984775
1000,10000,Float32,KernelForge,22.89417534484528,0.5052323745621834,33.416174769547766,0.5263228745976659
1000,10000,Float32,LinearAlgebra,13.522800145437941,0.09214433477609418,23.282300132636912,0.41142139022739127
10000,1000,Float32,KernelForge,22.22362454631366,0.34918926234240644,32.782623907589354,0.617504452226015
10000,1000,Float32,LinearAlgebra,13.81445035804063,0.04010299569927156,22.865450419244358,0.5374426097726095
100000,100,Float32,KernelForge,32.95805072411895,0.06983289029449224,42.396052261678506,0.29577974999394147
100000,100,Float32,LinearAlgebra,95.82130005583167,0.19763260264880955,105.30080267722532,0.8777040450701363
1000000,10,Float32,KernelForge,34.10770004848018,0.40415612660581246,45.15769899502303,0.9562746953144081
1000000,10,Float32,LinearAlgebra,16.42242568777874,0.11441910231951624,25.79742500854563,0.5404070884661657
10000000,1,Float32,KernelForge,36.2446007784456,0.6240990950027481,46.83109933285601,0.5982283011752451
10000000,1,Float32,LinearAlgebra,22.27574950666167,0.11438350411481224,31.773249175522942,0.5493037076714996
1,100000000,Float32,KernelForge,256.6767740063369,8.398811726365238,266.98777050349116,1.2320424488187018
1,100000000,Float32,LinearAlgebra,9799.255058169365,1.1438371986150742,9812.229089641332,0.8439383506745239
10,10000000,Float32,KernelForge,134.69887198880315,3.429664804134518,144.89136807759104,0.7057215189596655
10,10000000,Float32,LinearAlgebra,6567.264348268509,1.1278201639652252,6580.39695159781,0.9824171577394292
100,1000000,Float32,KernelForge,140.09414589963853,1.6241842706222087,152.6006498029381,0.9666606399262323
100,1000000,Float32,LinearAlgebra,681.601813994348,0.27197891380637884,692.9658216190338,0.9266218012987076
1000,100000,Float32,KernelForge,114.38960209488869,1.5350118465721607,126.5315990116261,1.0659890230639255
1000,100000,Float32,LinearAlgebra,151.54925640672445,1.2957919109612703,162.23125090816245,0.6508591874675915
10000,10000,Float32,KernelForge,113.68899722583592,1.0193513554986566,125.43099510502442,1.6189840699334908
10000,10000,Float32,LinearAlgebra,116.4693501777947,0.2377355983480811,128.00435116801037,0.7079478499892657
100000,1000,Float32,KernelForge,119.8550802655518,5.18907047342509,130.90808048081027,0.714610848478397
100000,1000,Float32,LinearAlgebra,174.06755359843373,2.468228491488844,184.6055525086075,0.6011910223679109
1000000,100,Float32,KernelForge,135.19899803213775,0.5958664824720472,146.30749772667883,1.013368358307364
1000000,100,Float32,LinearAlgebra,120.47747150063515,0.6672095996327698,131.25146982487664,0.38325689859863415
10000000,10,Float32,KernelForge,137.79292348772287,0.8841126970946789,149.32842352084072,1.0222563224733037
10000000,10,Float32,LinearAlgebra,127.34912452287972,0.5275524489115924,138.3526211649999,0.5196436796361733
100000000,1,Float32,KernelForge,195.84217225201428,4.125068181892857,207.75167756485195,0.9162610995114618
100000000,1,Float32,LinearAlgebra,215.08799400180578,9.373589814640582,226.31149423922972,0.8169138841740554
10,100000000,Float32,KernelForge,1422.5548598915339,17.112613627687097,1435.2643627439438,0.559732517105151
10,100000000,Float32,LinearAlgebra,10582.409054040909,2.0998884737491608,10596.606865261077,0.9558252017368304
100,10000000,Float32,KernelForge,1261.5000829100609,25.425247494131327,1274.885605965793,0.6612315951500709
100,10000000,Float32,LinearAlgebra,6775.520369410515,0.8102410286664963,6789.429069322228,1.412259991654264
1000,1000000,Float32,KernelForge,1040.4032189399004,7.3036987613886595,1053.225651691079,0.4329447978726384
1000,1000000,Float32,LinearAlgebra,1523.6611012369394,0.4724334832280874,1535.9885854117274,0.5589200858741856
10000,100000,Float32,KernelForge,1055.8634530752897,1.4652134757488966,1069.7974225213825,0.6508740848727365
10000,100000,Float32,LinearAlgebra,1147.02507853508,9.236858189105988,1160.0885186149478,1.795494684075738
100000,10000,Float32,KernelForge,1110.950019210577,27.994462698698044,1124.7720279747546,1.7769017574817154
100000,10000,Float32,LinearAlgebra,1123.2409626245499,1.319610346108675,1135.8429636323153,0.7435096307001157
1000000,1000,Float32,KernelForge,1168.0249590426683,7.840131344273686,1181.9814391429722,1.3247512069537153
1000000,1000,Float32,LinearAlgebra,1663.4385101497173,1.6034984774887562,1676.5160214259922,1.4989149343064037
10000000,100,Float32,KernelForge,1096.031954512,16.347385989502072,1110.3044073615374,1.293569096010109
10000000,100,Float32,LinearAlgebra,1177.9124848544598,16.980404052883387,1191.2100125599206,0.29637137530627344
100000000,10,Float32,KernelForge,1332.021551206708,20.0652711186558,1345.3715861432852,0.6337554180211449
100000000,10,Float32,LinearAlgebra,1269.5793062448502,0.6254928186535835,1283.0532453956307,2.211204747666117
