K,M,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
64,65536,UInt32,Forge,380.7295928709209,0.030843147542327642,394.78210297724604,2.0978810066803524
64,65536,UInt32,CUB,480.927,2.554,480.927,2.554
64,65536,UInt32,Thrust,4148.215,29.908,4148.215,29.908
256,16384,UInt32,Forge,681.9911999627948,3.853581170551479,705.0582002293319,9.85998112545702
256,16384,UInt32,CUB,10642.247,129.427,10642.247,129.427
256,16384,UInt32,Thrust,4154.4,21.069999999999997,4154.4,21.069999999999997
1024,4096,UInt32,Forge,746.4991882443428,0.37957610562443733,768.6496986445784,4.920025658514068
1024,4096,UInt32,CUB,2779.4379999999996,2.183,2779.4379999999996,2.183
1024,4096,UInt32,Thrust,4156.038,26.843,4156.038,26.843
4096,1024,UInt32,Forge,512.0935849845409,6.818769229575992,608.9420832266659,80.62232195796861
4096,1024,UInt32,CUB,800.932,8.673,800.932,8.673
4096,1024,UInt32,Thrust,4159.73,27.462,4159.73,27.462
16384,256,UInt32,Forge,1117.3312086611986,4.144200598821044,1147.0466736690403,13.182575028326038
16384,256,UInt32,CUB,1307.096,7.353,1307.096,7.353
16384,256,UInt32,Thrust,4225.435,75.586,4225.435,75.586
65536,64,UInt32,Forge,1099.2208030074835,19.465875020250678,1119.4648296069504,3.217211895662796
65536,64,UInt32,CUB,1435.159,9.665,1435.159,9.665
65536,64,UInt32,Thrust,4183.413,19.335,4183.413,19.335
262144,16,UInt32,Forge,1143.9327616244555,2.2630274947732687,1164.236754719168,4.08823538278839
262144,16,UInt32,CUB,1866.484,13.256,1866.484,13.256
262144,16,UInt32,Thrust,4180.137000000001,28.980999999999998,4180.137000000001,28.980999999999998
1048576,4,UInt32,Forge,991.4519730955362,36.05565673671663,1007.3244628154636,0.9525318661169867
1048576,4,UInt32,CUB,4659.466,3.649,4659.466,3.649
1048576,4,UInt32,Thrust,4179.717000000001,28.616,4179.717000000001,28.616
64,65536,Float32,Forge,390.1895950548351,0.27634562691673636,406.30159602286665,4.347700417283754
64,65536,Float32,CUB,542.937,4.258,542.937,4.258
