K,M,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
64,65536,Float32,Forge,376.9728005863726,1.1718497495166957,390.11729309580477,2.282464706923422
64,65536,Float32,CUB,381.724,1.142,381.724,1.142
64,65536,Float32,Thrust,4128.397,26.117,4128.397,26.117
256,16384,Float32,Forge,676.5040336176753,1.9617760693654418,694.4960243988187,2.500388844369818
256,16384,Float32,CUB,10721.294,131.906,10721.294,131.906
256,16384,Float32,Thrust,4146.429999999999,74.517,4146.429999999999,74.517
1024,4096,Float32,Forge,756.3751889392734,3.2605366548523307,774.6701939242482,2.766526081082119
1024,4096,Float32,CUB,2792.573,1.393,2792.573,1.393
1024,4096,Float32,Thrust,4141.559,17.878999999999998,4141.559,17.878999999999998
4096,1024,Float32,Forge,537.6136163249612,0.043874247930943966,557.5786460405438,8.926772229935178
4096,1024,Float32,CUB,801.071,2.617,801.071,2.617
4096,1024,Float32,Thrust,4135.209,17.625,4135.209,17.625
16384,256,Float32,Forge,1108.1287637352943,2.164647001773119,1126.8767883064152,1.8673918980459656
16384,256,Float32,CUB,1264.495,10.314,1264.495,10.314
16384,256,Float32,Thrust,4182.820000000001,46.721,4182.820000000001,46.721
65536,64,Float32,Forge,1108.9359410107136,7.372668664902449,1132.497487578422,7.08015930819792
65536,64,Float32,CUB,1341.562,5.981,1341.562,5.981
65536,64,Float32,Thrust,4165.563,27.772000000000002,4165.563,27.772000000000002
262144,16,Float32,Forge,1141.6512075811625,10.050896359607577,1161.2687199654877,5.127549520532325
262144,16,Float32,CUB,1740.785,9.138,1740.785,9.138
262144,16,Float32,Thrust,4244.527,48.958,4244.527,48.958
1048576,4,Float32,Forge,1140.9599799662828,7.451027864590287,1164.0205322733223,6.148457084335025
1048576,4,Float32,CUB,4315.284000000001,6.460999999999999,4315.284000000001,6.460999999999999
1048576,4,Float32,Thrust,4188.857,58.87,4188.857,58.87
64,65536,UInt8,Forge,162.10320172831416,2.757639738265425,171.51819646177069,1.0430098524747577
64,65536,UInt8,CUB,315.94899999999996,1.4009999999999998,315.94899999999996,1.4009999999999998
64,65536,UInt8,Thrust,4277.629,45.343,4277.629,45.343
256,16384,UInt8,Forge,402.800808660686,1.8775485595688224,415.51780725851654,2.000766693319602
256,16384,UInt8,CUB,2626.6,15.071,2626.6,15.071
256,16384,UInt8,Thrust,4270.241999999999,42.723,4270.241999999999,42.723
1024,4096,UInt8,Forge,153.10639282688498,0.46138725243508816,167.4083973754607,5.349216533100629
1024,4096,UInt8,CUB,683.7339999999999,1.138,683.7339999999999,1.138
1024,4096,UInt8,Thrust,4270.09,45.197,4270.09,45.197
4096,1024,UInt8,Forge,99.6599963400513,2.4966984253842384,106.94299768132717,0.23202727611588225
4096,1024,UInt8,CUB,196.629,3.72,196.629,3.72
4096,1024,UInt8,Thrust,4283.412,41.024,4283.412,41.024
16384,256,UInt8,Forge,146.7183989007026,5.396661943523213,155.2018998974189,1.1801483450653227
16384,256,UInt8,CUB,237.58499999999998,0.714,237.58499999999998,0.714
16384,256,UInt8,Thrust,4282.77,47.228,4282.77,47.228
65536,64,UInt8,Forge,158.46239984966815,4.492873147828504,172.03039255379514,6.302540628787155
65536,64,UInt8,CUB,267.88800000000003,0.48700000000000004,267.88800000000003,0.48700000000000004
65536,64,UInt8,Thrust,4275.5,38.354,4275.5,38.354
262144,16,UInt8,Forge,160.6328005436808,2.072074409807101,175.7247947709933,4.441860568480187
262144,16,UInt8,CUB,285.698,1.895,285.698,1.895
262144,16,UInt8,Thrust,4315.009,64.54799999999999,4315.009,64.54799999999999
1048576,4,UInt8,Forge,172.28960059583187,3.4941989555954933,188.5976027746983,9.424892221258805
1048576,4,UInt8,CUB,1066.212,0.98,1066.212,0.98
1048576,4,UInt8,Thrust,4280.925,39.875,4280.925,39.875
