n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,198.69920797646046,2.1895010210573673,213.4997089669481,0.5908183571813007
1000000,Float32,AK,193.68960056453943,3.491817112080753,202.25860257174074,1.126781268052392
1000000,Float32,AK-DL,NaN,NaN,NaN,NaN
1000000,Float32,KernelForge,49.10080024274066,1.062731543497648,54.890301249783484,0.5700607022466097
1000000,Float32,CUB,NaN,NaN,NaN,NaN
1000000,Float64,CUDA,416.8192157521844,1.3663842296227813,440.1867058872357,2.254277244612791
1000000,Float64,AK,377.1648043766618,13.853388712741435,400.08781380829214,3.5323105553871543
1000000,Float64,AK-DL,NaN,NaN,NaN,NaN
1000000,Float64,KernelForge,96.15359886083752,4.4027298636501655,104.51409918662907,0.44848361474385273
1000000,Float64,CUB,NaN,NaN,NaN,NaN
10000000,Float32,CUDA,1813.5040067136288,13.967268448323011,1841.7689821341633,6.060834683274369
10000000,Float32,AK,1874.9183043837547,31.08464576303959,1910.9502784460485,11.587165977516655
10000000,Float32,AK-DL,NaN,NaN,NaN,NaN
10000000,Float32,KernelForge,458.9567892253399,15.105927726253867,482.4102939044386,9.899332739869003
10000000,Float32,CUB,NaN,NaN,NaN,NaN
10000000,Float64,CUDA,4013.516753911972,15.105720609426498,4059.24134006834,5.058936248467174
10000000,Float64,AK,4477.440007030964,79.47680208832026,4522.025963171243,6.495415137367724
10000000,Float64,AK-DL,NaN,NaN,NaN,NaN
10000000,Float64,KernelForge,917.3247963190079,1.9357138685882092,942.9783124474287,1.0333721922234311
10000000,Float64,CUB,NaN,NaN,NaN,NaN
100000000,Float32,CUDA,18932.736665010452,398.67503866553307,18976.13639894199,11.953044577783345
100000000,Float32,AK,32624.28343296051,1017.4152964353561,32676.490213412762,11.764979627575078
100000000,Float32,AK-DL,NaN,NaN,NaN,NaN
100000000,Float32,KernelForge,4580.710269510746,30.5154887214303,4615.395768954753,7.81161071496014
100000000,Float32,CUB,NaN,NaN,NaN,NaN
100000000,Float64,CUDA,41493.529081344604,561.462237238884,41545.44553325462,10.781811726459718
100000000,Float64,AK,195545.6793308258,2884.506665468216,195616.42947349168,12.913930617398986
100000000,Float64,AK-DL,NaN,NaN,NaN,NaN
100000000,Float64,KernelForge,9255.212545394897,28.532414138317108,9302.765827693464,12.180056790877522
100000000,Float64,CUB,NaN,NaN,NaN,NaN
1000000000,Float32,CUDA,NaN,NaN,NaN,NaN
1000000000,Float32,AK,NaN,NaN,NaN,NaN
1000000000,Float32,AK-DL,NaN,NaN,NaN,NaN
1000000000,Float32,KernelForge,NaN,NaN,NaN,NaN
1000000000,Float32,CUB,NaN,NaN,NaN,NaN
1000000000,Float64,CUDA,NaN,NaN,NaN,NaN
1000000000,Float64,AK,NaN,NaN,NaN,NaN
1000000000,Float64,AK-DL,NaN,NaN,NaN,NaN
1000000000,Float64,KernelForge,NaN,NaN,NaN,NaN
1000000000,Float64,CUB,NaN,NaN,NaN,NaN
