n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,UInt32,KernelForge,322.56002305075526,3.036375838564709,340.6330108292103,3.274330123805318
1000000,UInt32,CUDA,10053.120087832212,6.8314033560454845,10095.79446563244,10.543445678451983
1000000,UInt32,AK,1801.2160435318947,28.84550574235618,1824.5365297842623,3.2898432436781606
1000000,UInt32,CUB,NaN,NaN,NaN,NaN
1000000,UInt64,KernelForge,990.2080055326223,0.0,1015.9910074454099,2.4099592772261893
1000000,UInt64,CUDA,16622.07953631878,296.80393673479557,16657.25628407669,8.297496622011831
1000000,UInt64,AK,2116.607967764139,31.881838431581855,2138.6754810475704,1.7880838334513525
1000000,UInt64,CUB,NaN,NaN,NaN,NaN
1000000,Float32,KernelForge,329.2159963166341,3.7954374362016097,349.6785016919002,7.266246686969006
1000000,Float32,CUDA,10953.215882182121,285.4180343449116,10995.056490720272,8.375349574004979
1000000,Float32,AK,2384.3839298933744,0.7590831723064184,2409.052024364412,3.570809989225676
1000000,Float32,CUB,NaN,NaN,NaN,NaN
1000000,Float64,KernelForge,989.1839581541717,9.109084366355091,1009.3539878177942,1.257242794048685
1000000,Float64,CUDA,12422.143947333097,30.3640172816813,12464.571075828077,4.252546343062846
1000000,Float64,AK,6756.86402246356,0.7594283670186996,6786.92581404972,7.52438766464503
1000000,Float64,CUB,NaN,NaN,NaN,NaN
10000000,UInt32,KernelForge,2501.6319705173373,4.554671631194651,2529.89855144006,2.649333950757558
10000000,UInt32,CUDA,214140.92928171158,7099.025912582874,214197.39455942536,4.296488206030981
10000000,UInt32,AK,26243.584230542183,551.8586441874504,26292.93051235247,8.023073794064464
10000000,UInt32,CUB,NaN,NaN,NaN,NaN
10000000,UInt64,KernelForge,8709.119632840157,47.063847072422504,8745.14542599678,12.415485033539717
10000000,UInt64,CUDA,248722.42659330368,11087.289632856846,248780.6363047676,6.253763275415782
10000000,UInt64,AK,29878.783971071243,385.61839386820793,29927.963707587718,11.452959379081697
10000000,UInt64,CUB,NaN,NaN,NaN,NaN
10000000,Float32,KernelForge,2467.3279840499163,0.7590831723064184,2495.7190162411925,2.4337561334510855
10000000,Float32,CUDA,239319.04137134552,13782.824009656906,239382.07571244813,10.217737088491118
10000000,Float32,AK,33762.81633973122,70.59646099805832,33816.48419497299,5.939697035222791
10000000,Float32,CUB,NaN,NaN,NaN,NaN
10000000,Float64,KernelForge,8735.231589525938,20.49559084698558,8772.77159927988,11.967143063130306
10000000,Float64,CUDA,239134.71400737762,124.49102103710175,239190.83321120453,4.371741993375736
10000000,Float64,AK,140962.30268478394,6307.287320494652,141032.43274188804,13.3037401785192
10000000,Float64,CUB,NaN,NaN,NaN,NaN
100000000,UInt32,KernelForge,27069.952338933945,3894.8954544961452,27124.052681623936,5.762652484946534
100000000,UInt32,CUDA,3.2685725688934326e6,163225.11534690857,3.2686754307543943e6,8.128496841619535
100000000,UInt32,AK,335666.686296463,1194.0533638000488,335727.3540409546,4.1772085329964055
100000000,UInt32,CUB,NaN,NaN,NaN,NaN
100000000,UInt64,CUDA,NaN,NaN,NaN,NaN
100000000,UInt64,AK,NaN,NaN,NaN,NaN
100000000,UInt64,KernelForge,NaN,NaN,NaN,NaN
100000000,UInt64,CUB,NaN,NaN,NaN,NaN
100000000,Float32,KernelForge,24090.62348306179,308.1926006823778,24125.568729261875,9.797970785036568
100000000,Float32,CUDA,3.047597050666809e6,646.6905355453491,3.0477051221813965e6,4.291203813360259
100000000,Float32,AK,436224.17747974396,19289.789816737175,436294.389830658,8.251139868460152
100000000,Float32,CUB,NaN,NaN,NaN,NaN
100000000,Float64,CUDA,NaN,NaN,NaN,NaN
100000000,Float64,AK,NaN,NaN,NaN,NaN
100000000,Float64,KernelForge,NaN,NaN,NaN,NaN
100000000,Float64,CUB,NaN,NaN,NaN,NaN
